Time(sec),Angle(V),Diode(V),cps
38.3,0.568,0.117,0
38.4,0.56,0.191,0
38.5,0.549,0.319,0
39.1,0.538,0.515,0
39.2,0.533,0.668,0
39.3,0.516,0.932,0
39.9,0.508,1.03,0
40,0.502,1.06,0
40.1,0.492,1.08,0
40.7,0.482,1.02,0
40.8,0.48,0.992,0
41.3,0.471,0.853,0
41.5,0.46,0.67,0
41.6,0.454,0.577,0
41.7,0.443,0.349,0
42.3,0.432,0.184,0
42.4,0.424,0.0991,0
42.5,0.421,0.0972,0
42.9,0.416,0.0799,0
43.1,0.407,0.101,0
43.2,0.399,0.167,0
43.3,0.396,0.181,0
43.5,0.399,0.167,0
43.8,0.384,0.379,0
44,0.374,0.545,0
44.1,0.371,0.563,0
44.5,0.363,0.731,0
44.8,0.352,0.876,0
44.9,0.349,0.905,0
45,0.341,0.956,0
45.6,0.333,0.957,0
45.7,0.324,0.92,0
45.8,0.321,0.896,0
46.2,0.308,0.709,0
46.4,0.302,0.63,0
46.5,0.296,0.489,0
47.1,0.286,0.332,0
47.2,0.283,0.285,0
47.3,0.28,0.265,0
47.6,0.274,0.171,0
47.9,0.266,0.0936,0
48,0.262,0.0731,0
48.1,0.26,0.064,0
48.6,0.248,0.0614,0
48.7,0.245,0.079,0
48.8,0.242,0.0936,0
49.4,0.237,0.138,0
49.5,0.229,0.229,0
49.6,0.225,0.276,0
49.7,0.218,0.372,0
50.3,0.207,0.507,0
50.4,0.202,0.561,0
50.5,0.193,0.67,0
51.1,0.183,0.716,0
51.2,0.178,0.721,0
51.8,0.169,0.705,0
51.9,0.162,0.656,0
52,0.15,0.53,0
52.6,0.143,0.472,0
52.7,0.135,0.354,0
53.3,0.121,0.187,0
53.4,0.111,0.09,0
54,0.0994,0.0356,0
54.1,0.0859,0.0503,0
54.7,0.0802,0.0796,0
54.8,0.071,0.137,0
55.4,0.0617,0.211,0
55.5,0.0571,0.252,0
56.1,0.0468,0.333,0
56.2,0.0414,0.381,0
56.3,0.0391,0.389,0
56.8,0.0235,0.444,0
56.9,0.0115,0.416,0
57.5,0.00288,0.385,0
57.6,0.00274,0.375,0
