Part 3.b (A),,,
Time(sec),Angle(V),Diode(V),cps
41,0.44,0.208,0
41.1,0.434,0.222,0
41.2,0.428,0.214,0
41.3,0.425,0.207,0
41.5,0.423,0.216,0
41.9,0.418,0.219,0
42,0.406,0.213,0
42.1,0.401,0.221,0
42.2,0.398,0.215,0
42.3,0.393,0.206,0
42.8,0.382,0.219,0
42.9,0.372,0.21,0
43,0.368,0.209,0
43.1,0.366,0.216,0
43.5,0.348,0.215,0
43.7,0.344,0.205,0
43.8,0.342,0.216,0
44.2,0.336,0.216,0
44.5,0.329,0.206,0
44.6,0.318,0.211,0
44.7,0.315,0.206,0
44.8,0.307,0.206,0
45.3,0.299,0.208,0
45.4,0.292,0.211,0
45.5,0.289,0.205,0
46,0.276,0.198,0
46.1,0.264,0.197,0
46.2,0.257,0.203,0
46.3,0.25,0.201,0
46.8,0.24,0.192,0
46.9,0.231,0.194,0
47,0.228,0.201,0
47.1,0.224,0.194,0
47.2,0.212,0.195,0
47.7,0.198,0.19,0
47.8,0.193,0.194,0
47.9,0.19,0.187,0
48,0.185,0.184,0
48.5,0.171,0.179,0
48.6,0.167,0.181,0
48.7,0.164,0.175,0
48.8,0.16,0.172,0
49.2,0.153,0.177,0
49.3,0.146,0.178,0
49.4,0.143,0.17,0
49.5,0.14,0.172,0
50,0.132,0.166,0
50.1,0.121,0.168,0
50.2,0.114,0.161,0
50.3,0.109,0.165,0
50.9,0.1,0.159,0
51,0.0918,0.155,0
51.1,0.0831,0.158,0
51.9,0.0736,0.149,0
52,0.0644,0.147,0
52.1,0.0584,0.153,0
52.7,0.0523,0.144,0
52.8,0.0447,0.138,0
52.9,0.0396,0.139,0
53,0.0364,0.143,0
53.6,0.0286,0.138,0
53.7,0.0207,0.129,0
53.8,0.00764,0.126,0
54.6,0.00215,0.127,0
54.7,0.00208,0.128,0
