Time(sec),Counts
0.6,75
0.9,107
1.2,106
1.5,54
1.8,78
2.1,79
2.4,70
2.7,92
3,89
3.3,104
3.6,86
3.9,65
4.2,70
4.5,70
4.8,70
5.1,83
5.4,82
5.7,72
6,78
6.3,70
6.6,84
6.9,72
7.2,81
7.5,74
7.8,83
8.1,64
8.4,88
8.7,83
9,87
9.3,79
9.6,92
9.9,87
10.2,73
10.5,64
10.8,85
11.1,55
11.4,71
11.7,94
12,90
12.3,116
12.6,114
12.9,101
13.2,94
13.5,103
13.8,78
14.1,76
14.4,102
14.7,95
15,98
15.3,71
15.6,74
15.9,84
16.2,93
16.5,84
16.8,90
17.1,69
17.4,88
17.7,78
18,58
18.3,97
18.6,97
18.9,94
19.2,73
19.5,92
19.8,91
20.1,81
20.4,79
20.7,61
21,59
21.3,93
21.6,65
21.9,97
22.2,93
22.5,107
22.8,95
23.1,84
23.4,90
23.7,75
24,83
24.3,93
24.6,83
24.9,78
25.2,70
25.5,69
25.8,89
26.1,72
26.4,55
26.7,70
27,95
27.3,81
27.6,108
27.9,102
28.2,72
28.5,98
28.8,86
29.1,96
29.4,113
29.7,94
30,78
30.3,95
30.6,91
30.9,79
31.2,109
31.5,93
31.8,82
32.1,105
32.4,78
32.7,53
33,81
33.3,71
33.6,92
33.9,93
34.2,72
34.5,73
34.8,110
35.1,111
35.4,93
35.7,75
36,70
36.3,88
36.6,85
36.9,73
37.2,95
37.5,94
37.8,85
38.1,78
38.4,67
38.7,89
39,97
39.3,70
39.6,80
39.9,82
40.2,63
40.5,82
40.8,81
41.1,81
41.4,77
41.7,66
42,51
42.3,48
42.6,65
42.9,89
43.2,68
43.5,83
43.8,82
44.1,92
44.4,79
44.7,91
45,85
45.3,95
45.6,84
45.9,60
46.2,69
46.5,75
46.8,63
47.1,88
47.4,77
47.7,61
48,71
48.3,59
48.6,71
48.9,76
49.2,76
49.5,76
49.8,69
50.1,80
50.4,82
50.7,59
51,59
51.3,57
51.6,74
51.9,105
52.2,85
52.5,67
52.8,64
53.1,68
53.4,62
53.7,77
54,72
54.3,76
54.6,59
54.9,75
55.2,92
55.5,91
55.8,81
56.1,78
56.4,74
56.7,86
57,78
57.3,65
57.6,77
57.9,64
58.2,79
58.5,76
58.8,72
59.1,67
59.4,74
59.7,91
60,86
60.3,79
60.6,68
60.9,63
61.2,73
61.5,78
61.8,84
62.1,72
62.4,72
62.7,77
63,69
63.3,77
63.6,66
63.9,80
64.2,73
64.5,61
64.8,72
65.1,86
65.4,78
65.7,91
66,69
66.3,66
66.6,109
66.9,95
67.2,74
67.5,80
67.8,75
68.1,81
68.4,74
68.7,96
69,69
69.3,68
69.6,54
69.9,71
70.2,84
70.5,78
70.8,67
71.1,70
71.4,85
71.7,83
72,74
72.3,88
72.6,69
72.9,78
73.2,59
73.5,76
73.8,77
74.1,71
74.4,75
74.7,74
75,82
75.3,87
75.6,80
75.9,73
76.2,80
76.5,81
76.8,82
77.1,66
77.4,85
77.7,67
78,91
78.3,88
78.6,94
78.9,86
79.2,101
79.5,87
79.8,83
80.1,82
80.4,95
80.7,91
81,63
81.3,77
81.6,69
81.9,85
82.2,78
82.5,58
82.8,65
83.1,78
83.4,68
83.7,84
84,67
84.3,102
84.6,66
84.9,81
85.2,81
85.5,102
85.8,84
86.1,84
86.4,69
86.7,59
87,81
87.3,52
87.6,65
87.9,96
88.2,65
88.5,92
88.8,75
89.1,96
89.4,96
89.7,89
90,93
90.3,60
90.6,70
90.9,94
91.2,61
91.5,77
91.8,84
92.1,107
92.4,61
92.7,89
93,96
93.3,91
93.6,79
93.9,97
94.2,67
94.5,84
94.8,91
95.1,66
95.4,59
95.7,75
96,73
96.3,71
96.6,68
96.9,78
97.2,92
97.5,84
97.8,89
98.1,70
98.4,98
98.7,68
99,64
99.3,80
99.6,85
99.9,96
100,71
101,75
101,79
101,80
101,77
102,86
102,83
102,88
103,55
103,81
103,77
104,70
104,74
104,82
104,56
105,99
105,71
105,69
106,89
106,85
106,94
107,86
107,80
107,75
107,68
108,84
108,90
108,61
109,78
109,76
109,77
110,71
110,101
110,85
110,99
111,80
111,66
111,82
112,74
112,94
112,70
113,82
113,78
113,77
113,81
114,65
114,67
114,69
115,71
115,66
115,89
116,86
116,70
116,93
116,72
117,71
117,68
117,77
118,79
118,91
118,82
119,83
119,94
119,82
119,66
120,82
120,86
120,84
121,101
121,85
121,75
122,77
122,56
122,92
122,68
123,87
123,85
123,87
124,74
124,76
124,76
125,70
125,66
125,70
125,87
126,79
126,81
126,93
127,103
127,92
127,88
128,100
128,76
128,83
128,71
129,73
129,63
129,72
130,68
130,92
130,86
131,83
131,73
131,75
131,66
132,83
132,78
132,64
133,64
133,81
133,74
134,90
134,96
134,80
134,82
135,97
135,92
135,73
136,80
136,80
136,84
137,103
137,87
137,78
137,84
138,68
138,94
138,65
139,68
139,79
139,57
140,55
140,63
140,75
140,76
141,78
141,70
141,75
142,89
142,87
142,64
143,99
143,80
143,72
143,76
144,79
144,80
144,67
145,68
145,68
145,81
146,92
146,91
146,58
146,55
147,83
147,77
147,59
148,58
148,57
148,76
149,66
149,69
149,88
149,60
150,64
150,97
150,94
