Frequency (Hz) - V-in (PSD),Power (dB) - V-in (PSD)
400,-45.1994
401,-45.6826
402,-45.379
403,-45.5945
404,-45.3934
405,-45.1505
406,-45.0951
407,-45.1841
408,-45.4351
409,-45.0445
410,-45.7687
411,-45.5007
412,-45.3308
413,-44.9964
414,-45.058
415,-45.6737
416,-45.262
417,-45.0434
418,-45.6461
419,-44.7453
420,-44.9453
421,-45.3313
422,-45.4455
423,-45.2953
424,-45.3601
425,-45.2982
426,-45.1608
427,-45.3267
428,-44.8324
429,-44.8982
430,-45.0261
431,-45.1379
432,-45.2681
433,-44.7918
434,-45.5486
435,-45.5043
436,-45.4643
437,-44.9891
438,-45.1661
439,-44.6044
440,-45.138
441,-45.2986
442,-44.558
443,-45.1143
444,-45.4327
445,-44.9258
446,-44.8327
447,-45.2572
448,-44.9718
449,-44.7122
450,-45.2198
451,-45.2099
452,-45.2182
453,-44.7846
454,-44.7489
455,-45.6581
456,-44.7697
457,-44.4636
458,-45.0211
459,-45.1375
460,-44.9265
461,-45.1492
462,-44.6923
463,-45.1136
464,-44.8319
465,-44.7433
466,-44.7369
467,-45.2813
468,-44.9943
469,-45.09
470,-44.8827
471,-44.5518
472,-44.9118
473,-44.8944
474,-44.5413
475,-44.7552
476,-45.3774
477,-44.9507
478,-45.1448
479,-44.289
480,-44.5592
481,-44.4949
482,-44.6896
483,-44.9508
484,-45.0008
485,-45.129
486,-45.1206
487,-44.8956
488,-44.9003
489,-45.2863
490,-44.7763
491,-44.4473
492,-45.0053
493,-44.6781
494,-44.402
495,-45.3164
496,-45.0248
497,-45.0734
498,-44.8048
499,-44.6726
500,-44.4232
501,-45.0174
502,-44.5478
503,-45.0382
504,-44.8348
505,-44.6855
506,-44.8251
507,-44.771
508,-44.9258
509,-45.0148
510,-44.6001
511,-44.9359
512,-44.4304
513,-44.5554
514,-44.327
515,-44.65
516,-44.5754
517,-44.6576
518,-44.8449
519,-44.9066
520,-45.1741
521,-44.7609
522,-44.8201
523,-44.6077
524,-44.2907
525,-44.7981
526,-44.9578
527,-44.6008
528,-44.8183
529,-44.2599
530,-44.6274
531,-44.5121
532,-44.5439
533,-44.6176
534,-44.5348
535,-44.6811
536,-44.9915
537,-44.6481
538,-44.7982
