Frequency (Hz) - V-in (PSD),Power (dB) - V-in (PSD)
402,-53.7143
403,-53.7222
404,-53.1194
405,-53.6008
406,-54.0458
407,-53.6894
408,-53.8539
409,-53.3245
410,-53.3914
411,-54.0014
412,-53.7382
413,-53.7406
414,-54.3062
415,-53.4291
416,-53.5743
417,-53.5104
418,-54.3852
419,-53.5268
420,-53.9617
421,-53.9242
422,-53.7918
423,-53.6897
424,-53.343
425,-53.5772
426,-53.1504
427,-53.8173
428,-53.9849
429,-53.9626
430,-53.933
431,-53.6685
432,-53.5207
433,-54.0403
434,-53.6175
435,-53.2333
436,-53.604
437,-53.7985
438,-53.424
439,-53.872
440,-54.014
441,-54.1306
442,-53.2906
443,-53.6262
444,-54.1176
445,-54.0962
446,-54.1035
447,-54.1336
448,-53.9394
449,-53.7431
450,-53.8155
451,-53.9743
452,-53.8769
453,-53.3816
454,-53.5487
455,-53.7676
456,-54.074
457,-53.7339
458,-54.2567
459,-53.8712
460,-53.3996
461,-53.3252
462,-52.9927
463,-53.4501
464,-53.9476
465,-53.6832
466,-53.7983
467,-53.978
468,-54.1513
469,-53.8984
470,-53.9791
471,-53.9051
472,-53.953
473,-53.5227
474,-54.0727
475,-54.1362
476,-53.5575
477,-54.0055
478,-53.8249
479,-53.8087
480,-53.5905
481,-53.865
482,-53.4794
483,-53.4463
484,-54.3553
485,-53.5784
486,-54.233
487,-53.4792
488,-53.6503
489,-53.7862
490,-54.2783
491,-54.0249
492,-53.6126
493,-53.4405
494,-53.956
495,-54.0963
496,-53.5741
497,-53.7238
498,-54.2158
499,-54.0435
500,-54.1999
501,-53.7198
502,-53.6741
503,-53.8707
504,-54.009
505,-53.8398
506,-53.768
507,-54.14
508,-53.7172
509,-53.26
510,-53.5332
511,-54.2497
512,-54.2626
513,-54.1473
514,-53.6186
515,-54.1354
516,-53.2824
517,-52.6724
518,-53.4417
519,-53.9098
520,-53.1762
521,-53.7347
522,-53.6673
523,-53.7626
524,-53.8194
525,-53.6215
526,-54.1056
527,-54.2457
528,-53.7954
529,-54.077
530,-53.3908
531,-53.6991
532,-53.5425
533,-53.8069
534,-53.5518
535,-53.6243
536,-53.8884
537,-54.334
538,-53.9667
539,-54.408
540,-53.763
541,-53.787
542,-53.7201
543,-53.7308
544,-53.7689
545,-53.9273
546,-54.1163
547,-53.6722
548,-53.837
549,-53.6192
550,-53.5751
551,-53.6649
552,-53.8848
553,-54.1359
554,-53.7004
555,-54.3569
556,-54.3339
557,-53.56
558,-53.8542
559,-54.3115
560,-54.2772
561,-53.9932
562,-54.3236
563,-53.8691
564,-53.7879
565,-53.8514
566,-53.1535
567,-53.9627
568,-53.9458
569,-53.9422
570,-53.3795
571,-54.1665
572,-53.7056
573,-53.9504
574,-53.6546
575,-54.3553
576,-53.7127
577,-53.8213
578,-53.6904
579,-53.4418
580,-53.6976
581,-53.5976
582,-54.3139
583,-53.1144
584,-53.4648
585,-53.6989
586,-53.5362
587,-53.5509
588,-53.8594
589,-53.8787
590,-53.7506
591,-53.5233
592,-53.6934
593,-53.8492
594,-53.6279
595,-53.6336
596,-54.1394
597,-53.9026
598,-53.6148
599,-53.138
600,-53.6114
601,-53.5828
602,-53.8864
603,-54.163
604,-54.1102
605,-53.5194
606,-53.6302
607,-53.5673
608,-53.8339
609,-53.846
610,-53.7312
611,-53.8604
612,-53.4485
613,-54.129
614,-53.939
615,-54.0904
616,-53.9792
617,-53.6729
618,-54.0279
619,-53.3734
620,-54.0408
621,-53.4679
622,-54.2061
623,-53.83
624,-53.8317
625,-53.8121
626,-53.6083
627,-53.9684
628,-53.6105
629,-53.3417
630,-53.7152
631,-53.7247
632,-53.8338
633,-53.6711
634,-53.9664
635,-53.7574
636,-54.088
637,-53.7492
638,-53.2119
639,-53.6302
640,-53.8364
641,-54.0105
642,-53.8314
643,-53.7519
644,-54.2966
645,-53.6391
646,-53.8182
647,-53.9522
648,-53.9344
649,-53.2344
650,-53.778
651,-53.964
652,-53.4704
653,-54.2431
654,-53.5976
655,-53.3078
656,-53.8522
657,-53.7579
658,-53.7256
659,-53.9182
660,-54.0513
661,-53.7582
662,-53.4914
663,-53.3892
664,-53.6829
665,-53.6683
666,-53.6285
667,-53.3122
668,-53.5563
669,-53.9196
670,-53.9379
671,-53.4187
672,-54.4403
673,-53.6945
674,-53.9438
675,-53.1806
676,-53.6383
677,-53.6186
678,-53.9618
679,-53.8494
680,-53.8377
681,-53.7826
682,-53.7775
683,-53.8392
684,-53.6745
685,-53.6839
686,-53.6456
687,-53.8736
688,-53.9731
689,-53.8506
690,-53.23
691,-53.6883
692,-53.4518
693,-53.3276
694,-53.7583
695,-53.8482
696,-53.4758
697,-53.5245
698,-53.7343
699,-54.102
700,-53.6875
701,-53.7238
702,-53.5558
703,-53.6335
704,-54.3296
705,-54.0485
706,-53.8446
707,-53.4719
708,-53.638
709,-53.7696
710,-53.932
711,-53.5933
712,-53.9596
713,-53.7997
714,-53.5189
715,-54.0194
716,-53.9348
717,-53.802
718,-53.7812
719,-53.5221
720,-53.2647
721,-53.6103
722,-53.7762
723,-54.0267
724,-53.6938
725,-53.8069
726,-53.1409
727,-53.6952
728,-53.7133
729,-53.6838
730,-53.3436
731,-53.4542
732,-53.366
733,-53.5464
734,-53.7263
735,-53.6645
736,-53.7345
737,-53.8994
738,-54.2092
739,-53.7987
740,-53.3526
741,-53.8245
742,-53.7292
743,-53.6341
744,-53.262
745,-53.5282
746,-53.8066
747,-53.5333
748,-53.2647
749,-54.0424
750,-53.7103
751,-53.8614
752,-53.7705
753,-53.5311
754,-53.8109
755,-53.3331
756,-53.6354
757,-53.9498
758,-53.7978
759,-53.659
760,-54.134
761,-53.3632
762,-53.6022
763,-53.3468
764,-53.8968
765,-52.935
766,-53.7724
767,-53.7538
768,-54.0809
769,-53.6494
770,-53.7219
771,-53.3745
772,-53.7467
773,-53.7543
774,-53.7744
775,-53.996
776,-53.8893
777,-53.6362
778,-53.3895
779,-53.6075
780,-53.4212
781,-53.0703
782,-53.8199
783,-53.255
784,-53.6946
785,-53.997
786,-53.6723
787,-54.246
788,-53.1204
789,-53.6206
790,-53.6845
791,-53.6112
792,-53.7957
793,-53.3291
794,-53.7615
795,-53.6385
796,-53.1941
797,-54.0259
798,-53.9177
799,-53.8652
800,-53.4475
801,-53.5301
802,-53.9915
803,-53.7697
804,-53.9621
805,-53.2777
806,-53.2167
807,-53.6855
808,-53.5444
809,-53.7904
810,-54.0892
811,-53.5625
812,-53.6732
813,-53.9227
814,-53.749
815,-53.5078
816,-53.573
817,-53.2357
818,-53.7387
819,-53.4473
820,-53.515
821,-53.5625
822,-53.4939
823,-53.4043
824,-53.579
825,-53.5745
826,-52.9859
827,-54.0115
828,-53.3031
829,-53.635
830,-53.7719
831,-53.4613
832,-53.3164
833,-54.0545
834,-53.7251
835,-53.3437
836,-53.3088
837,-53.3825
838,-53.5388
839,-53.4119
840,-53.4137
841,-53.7225
842,-53.4231
843,-53.9179
844,-53.8296
845,-53.8485
846,-53.5712
847,-53.4823
848,-53.535
849,-53.4193
850,-53.546
851,-53.6966
852,-53.3584
853,-54.2983
854,-53.402
855,-53.7754
856,-53.1454
857,-53.2399
858,-53.4802
859,-53.3432
860,-53.3523
861,-53.8711
862,-53.6283
863,-53.7602
864,-53.8382
865,-53.2997
866,-53.8105
867,-53.6019
868,-53.7033
869,-53.0516
870,-53.09
871,-53.974
872,-53.6882
873,-53.6104
874,-53.4042
875,-53.7912
876,-54.0102
877,-53.6109
878,-53.6533
879,-53.0619
880,-53.4977
881,-52.9028
882,-53.6088
883,-53.3089
884,-53.4749
885,-53.7994
886,-54.2254
887,-53.5666
888,-53.4381
889,-53.664
