Frequency (Hz) - V-in (PSD),Power (dB) - V-in (PSD)
399,-44.1676
400,-43.9601
401,-43.9801
402,-43.7604
403,-44.3603
404,-43.9321
405,-44.3409
406,-44.2037
407,-44.4221
408,-44.023
409,-44.4149
410,-44.0349
411,-44.2629
412,-43.9362
413,-44.206
414,-44.4457
415,-43.7205
416,-43.8175
417,-44.1635
418,-44.3569
419,-44.3353
420,-44.1648
421,-44.7125
422,-44.4233
423,-44.2415
424,-44.1646
425,-44.278
426,-43.9365
427,-44.6238
428,-43.9645
429,-44.6134
430,-44.4054
431,-44.2553
432,-44.0279
433,-44.2266
434,-44.6821
435,-44.2968
436,-44.4178
437,-43.9439
438,-43.9742
439,-43.9006
440,-44.3753
441,-44.0932
442,-44.0526
443,-44.419
444,-44.4469
445,-44.3277
446,-44.1431
447,-43.7175
448,-44.1399
449,-43.7519
450,-44.0603
451,-44.5591
452,-44.3806
453,-43.9656
454,-43.9105
455,-44.1273
456,-44.4905
457,-44.2505
458,-43.8943
459,-44.2098
460,-44.9703
461,-44.328
462,-44.2062
463,-44.2386
464,-44.0767
465,-44.0604
466,-44.3593
467,-44.1877
468,-44.6014
469,-43.7672
470,-44.3576
471,-43.8861
472,-44.1115
473,-43.8646
474,-44.1555
475,-44.5509
476,-44.0872
477,-44.5001
478,-44.2836
479,-44.2691
480,-43.7802
481,-43.8321
482,-44.2555
483,-44.0618
484,-44.2098
485,-44.0749
486,-44.4353
487,-44.2319
488,-44.5333
489,-44.0501
490,-44.1807
491,-44.3392
492,-44.349
493,-44.381
494,-43.9834
495,-44.1388
496,-44.0125
497,-44.7998
498,-44.3057
499,-44.0464
500,-43.9638
501,-43.7916
502,-43.698
503,-44.1935
504,-44.1164
505,-44.4234
506,-44.4444
507,-44.3976
508,-44.4812
509,-44.1009
510,-44.5408
511,-44.0109
512,-44.0842
513,-43.6829
514,-44.2239
515,-44.0248
516,-44.1746
517,-44.4906
518,-44.2578
519,-44.2438
520,-44.797
521,-43.5266
522,-44.4748
523,-43.5092
524,-44.3688
525,-44.0862
526,-44.301
527,-44.5008
528,-44.3101
529,-44.2781
530,-44.1371
531,-44.2804
532,-44.032
533,-44.1093
534,-44.426
535,-44.2319
536,-43.8742
537,-43.6478
538,-44.2649
539,-44.6319
540,-43.2949
541,-44.2845
542,-44.1761
543,-44.3106
544,-43.7805
545,-43.9701
546,-44.2876
547,-44.1114
548,-44.0015
549,-44.3297
550,-44.0956
551,-44.074
552,-43.996
553,-43.9878
554,-44.1144
555,-44.1829
556,-43.8089
557,-43.9333
558,-44.0075
559,-43.8975
560,-44.8521
561,-44.1547
562,-43.7259
563,-44.1584
564,-44.5213
565,-44.1231
566,-44.3427
567,-44.3705
568,-44.2271
569,-43.8477
570,-43.9081
571,-44.1518
572,-44.2893
573,-44.5548
574,-43.7929
575,-44.3937
576,-44.1273
577,-44.5479
578,-44.0153
579,-44.1562
580,-44.4437
581,-44.3053
582,-44.5107
583,-44.1249
584,-44.5169
585,-44.463
586,-44.3478
587,-44.6288
588,-44.3368
589,-44.4035
590,-44.5329
591,-44.1829
592,-44.2231
593,-44.111
594,-44.2722
595,-44.4246
596,-44.2734
597,-44.2293
598,-44.8567
599,-44.7516
600,-44.4442
601,-44.3758
602,-44.1462
603,-44.0712
604,-44.5116
605,-44.2261
606,-44.2674
607,-44.0348
608,-43.9569
609,-44.459
610,-44.1408
611,-44.5048
612,-44.0926
613,-44.3627
614,-44.2165
615,-44.2138
616,-44.3645
617,-44.6034
618,-44.3461
619,-43.6583
620,-43.9829
621,-44.4098
622,-44.4809
623,-44.2207
624,-44.2636
625,-44.3446
626,-44.4461
627,-43.9688
628,-44.2979
629,-43.8931
630,-44.1897
631,-44.1172
632,-44.0302
633,-44.1382
634,-43.8774
635,-44.3915
636,-44.0601
637,-44.2387
638,-44.3927
639,-44.4778
640,-43.9084
641,-44.3586
642,-44.4729
643,-43.8731
644,-43.9784
645,-44.5459
646,-44.2289
647,-44.1988
648,-44.5278
649,-44.7332
650,-44.1542
651,-44.4307
652,-43.6314
653,-44.3471
654,-44.3067
655,-44.5484
656,-43.7647
657,-44.0139
658,-43.9699
659,-44.1386
660,-44.359
661,-43.8259
662,-44.0296
663,-44.4232
664,-44.9506
665,-44.3782
666,-44.2771
667,-44.4677
668,-44.2169
669,-44.2867
670,-44.0128
671,-43.4609
672,-44.5096
673,-43.9458
674,-43.7246
675,-44.407
676,-44.4071
677,-44.423
678,-44.3228
679,-44.5903
680,-43.8569
681,-44.429
682,-44.745
683,-43.8841
684,-44.2321
685,-44.39
686,-44.615
687,-44.3465
688,-44.0466
689,-44.7799
690,-44.3635
691,-44.1323
692,-43.9797
693,-44.0855
694,-44.0896
695,-44.197
696,-44.4894
697,-44.3451
698,-44.1933
699,-43.4909
700,-44.3289
701,-43.9241
702,-44.064
703,-44.0677
704,-44.6474
705,-44.0481
706,-44.4958
707,-44.3462
708,-44.3626
709,-44.3517
710,-44.0247
711,-44.3723
712,-44.5403
713,-43.8492
714,-44.0899
715,-44.6367
716,-44.3904
717,-44.1746
718,-44.2582
719,-43.9162
720,-44.1434
721,-44.0405
722,-44.1208
723,-44.3367
724,-44.2066
725,-44.3707
726,-44.1661
727,-43.8711
728,-44.3244
729,-44.2165
730,-44.0412
731,-44.9058
732,-44.1333
733,-44.161
734,-43.7561
735,-43.7713
736,-44.6439
737,-44.4133
738,-44.0091
739,-44.1989
740,-44.3108
741,-44.1857
742,-44.1439
743,-44.3038
744,-43.9751
745,-44.212
746,-44.4172
747,-44.2586
748,-44.6883
749,-43.9863
750,-44.2429
751,-44.137
752,-44.6311
753,-44.2159
754,-44.0385
755,-44.6015
756,-44.2708
757,-43.9227
758,-44.2418
759,-43.9773
760,-44.6429
761,-44.263
762,-44.5905
763,-44.0511
764,-44.2152
765,-44.4812
766,-43.9842
767,-44.7049
768,-43.9667
769,-44.0215
770,-44.6353
771,-44.2198
772,-44.1421
773,-44.6172
